uniprot_name	uniprot_accessions	knownness	gene_name	protein_name	taxon_id	species	cluster_id	panther_group
MGR3_YEAST	Q04472;D6VZT8	4.0	MGR3	Mitochondrial inner membrane i-AAA protease supercomplex subunit MGR3 (Mitochondrial genome-required protein 3)	559292	Saccharomyces cerevisiae	UKP12431	PTHR28142
OPT2_YEAST	Q06593;D6W4J4	6.1	OPT2	Oligopeptide transporter 2	559292	Saccharomyces cerevisiae	UKP00689	PTHR22601
DUR3_YEAST	P33413;D3DKP5	11.0	DUR3	Urea active transporter	559292	Saccharomyces cerevisiae	UKP02208	PTHR46154
SWF1_YEAST	Q04629;D6VSB2;Q03889	7.2	SWF1	Palmitoyltransferase SWF1 (EC 2.3.1.225) (Spore wall formation protein 1)	559292	Saccharomyces cerevisiae	UKP00103	PTHR22883
HXT6_YEAST	P39003;D6VSX4	5.4	HXT6	High-affinity hexose transporter HXT6	559292	Saccharomyces cerevisiae	UKP02544	PTHR48022
YO22B_YEAST	Q12501;D6W338	0.6	TY2B-OR2	Transposon Ty2-OR2 Gag-Pol polyprotein (TY2A-TY2B) (Transposon Ty2 TYA-TYB polyprotein) [Cleaved into: Capsid protein (CA); Ty2 protease (PR) (EC 3.4.23.-); Integrase (IN); Reverse transcriptase/ribonuclease H (RT) (RT-RH) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4)]	559292	Saccharomyces cerevisiae	UKP03866	PTHR42648
HXT3_YEAST	P32466;D6VSX5	6.2	HXT3	Low-affinity glucose transporter HXT3	559292	Saccharomyces cerevisiae	UKP02544	PTHR48022
TCM62_YEAST	P38228;D6VQ44;Q9Y793	4.3	TCM62	Mitochondrial chaperone TCM62	559292	Saccharomyces cerevisiae	UKP05362	PTHR45633
LYS12_YEAST	P40495;D6VVJ3	4.3	LYS12	Homoisocitrate dehydrogenase, mitochondrial (HIcDH) (EC 1.1.1.87)	559292	Saccharomyces cerevisiae	UKP02395	PTHR11835
GNP1_YEAST	P48813;D6VTD0	6.6	GNP1	High-affinity glutamine permease	559292	Saccharomyces cerevisiae	UKP11495	PTHR43341
PHO89_YEAST	P38361;D6VQU0	5.8	PHO89	Phosphate permease PHO89 (Na(+)/Pi cotransporter PHO89)	559292	Saccharomyces cerevisiae	UKP01241	PTHR11101
MTF1_YEAST	P14908;D6W053	5.0	MTF1	Mitochondrial transcription factor 1 (EC 2.1.1.-) (Mitochondrial transcription factor mtTFB) (Mitochondrial-specificity factor) (RF1023)	559292	Saccharomyces cerevisiae	UKP01776	PTHR11727
RPF2_YEAST	P36160;D6VXE1	7.9	RPF2	Ribosome biogenesis protein RPF2	559292	Saccharomyces cerevisiae	UKP01761	PTHR12728
BRL1_YEAST	P38770;D3DKY3	2.9	BRL1	Nucleus export protein BRL1 (BRR6-like protein 1)	559292	Saccharomyces cerevisiae	UKP12387	PTHR28136
BMS1_YEAST	Q08965;D6W3F3	10.6	BMS1	Ribosome biogenesis protein BMS1	559292	Saccharomyces cerevisiae	UKP01782	PTHR12858
SSK2_YEAST	P53599;D6W1K5	9.3	SSK2	MAP kinase kinase kinase SSK2 (EC 2.7.11.25) (Suppressor of sensor kinase 2)	559292	Saccharomyces cerevisiae	UKP01231	PTHR48016
HXT11_YEAST	P54862;D6W1R4	5.8	HXT11	Hexose transporter HXT11 (Low-affinity glucose transporter LGT3)	559292	Saccharomyces cerevisiae	UKP02544	PTHR48022
SELO_YEAST	Q08968;D6W3E8	2.9	FMP40	Protein adenylyltransferase SelO, mitochondrial (EC 2.7.7.-) (Selenoprotein O) (SelO)	559292	Saccharomyces cerevisiae	UKP04299	PTHR32057
ATN5_YEAST	Q12691;D6VS26;E9PAF4;P89901	4.5	ENA5	Sodium/potassium exporting P-type ATPase 5 (EC 7.2.2.3)	559292	Saccharomyces cerevisiae	UKP00355	PTHR42861
EIF3J_YEAST	Q05775;D6VYJ5	3.2	HCR1	Eukaryotic translation initiation factor 3 subunit J (eIF3j) (Eukaryotic translation initiation factor 3 30 kDa subunit) (eIF-3 30 kDa) (High-copy suppressor of Rpg1 protein 1)	559292	Saccharomyces cerevisiae	UKP00810	PTHR21681
SDHF3_YEAST	Q04401;D6VTD2;Q02562	3.4	SDH7	Succinate dehydrogenase assembly factor 3, mitochondrial (SDH assembly factor 3) (SDHAF3) (Acetate non-utilizing protein 9)	559292	Saccharomyces cerevisiae	UKP07022	PTHR13137
HXT5_YEAST	P38695;D3DL46	5.8	HXT5	Probable glucose transporter HXT5	559292	Saccharomyces cerevisiae	UKP02544	PTHR48022
MDL1_YEAST	P33310;D6VYJ1	3.4	MDL1	ATP-dependent permease MDL1, mitochondrial (ABC transporter MDL1) (Multidrug resistance-like protein 1)	559292	Saccharomyces cerevisiae	UKP01489	PTHR43394
COX17_YEAST	Q12287;D6VXZ3	6.6	COX17	Cytochrome c oxidase copper chaperone	559292	Saccharomyces cerevisiae	UKP00813	PTHR16719
ARN1_YEAST	P38731;D3DKS9	3.1	ARN1	Siderophore iron transporter ARN1 (Ferrichrome permease)	559292	Saccharomyces cerevisiae	UKP11636	PTHR23501
LNP_YEAST	P38878;D3DLE0	4.3	LNP1	Endoplasmic reticulum junction formation protein lunapark (ER junction formation factor lunapark)	559292	Saccharomyces cerevisiae	UKP00496	PTHR22166
PGA3_YEAST	Q12746;D6W0G0	1.6	PGA3	Plasma membrane-associated coenzyme Q6 reductase PGA3 (EC 1.6.2.2) (Processing of GAS1 and ALP protein 3)	559292	Saccharomyces cerevisiae	UKP02365	PTHR19370
TAL1_YEAST	P15019;D6VYZ2	2.6	TAL1	Transaldolase (EC 2.2.1.2)	559292	Saccharomyces cerevisiae	UKP02166	PTHR10683
CLA4_YEAST	P48562;D6W0P6	14.4	CLA4	Serine/threonine-protein kinase CLA4 (EC 2.7.11.1)	559292	Saccharomyces cerevisiae	UKP00270	PTHR48015
LAS1_YEAST	P36146;D6VXC4;Q66R55	5.6	LAS1	Protein LAS1	559292	Saccharomyces cerevisiae	UKP05024	PTHR15002
C1TM_YEAST	P09440;D6VQ83	5.5	MIS1	C-1-tetrahydrofolate synthase, mitochondrial (C1-THF synthase) [Includes: Methylenetetrahydrofolate dehydrogenase (EC 1.5.1.5); Methenyltetrahydrofolate cyclohydrolase (EC 3.5.4.9); Formyltetrahydrofolate synthetase (EC 6.3.4.3)]	559292	Saccharomyces cerevisiae	UKP04453	PTHR48099
METK2_YEAST	P19358;D6VTC4;E9P927	3.4	SAM2	S-adenosylmethionine synthase 2 (AdoMet synthase 2) (EC 2.5.1.6) (Methionine adenosyltransferase 2) (MAT 2)	559292	Saccharomyces cerevisiae	UKP00354	PTHR11964
KIN4_YEAST	Q01919;D6W2T7	7.1	KIN4	Serine/threonine-protein kinase KIN4 (EC 2.7.11.1)	559292	Saccharomyces cerevisiae	UKP01412	PTHR24346
TYW4_YEAST	Q08282;D6W1S8	7.3	PPM2	tRNA wybutosine-synthesizing protein 4 (tRNA yW-synthesizing protein 4) (EC 2.1.1.290) (EC 2.3.1.231) (tRNA(Phe) (7-(3-amino-3-(methoxycarbonyl)propyl)wyosine(37)-N)-methoxycarbonyltransferase) (tRNA(Phe) (7-(3-amino-3-carboxypropyl)wyosine(37)-O)-methyltransferase)	559292	Saccharomyces cerevisiae	UKP09018	PTHR46529
YKT6_YEAST	P36015;D6VX04	11.8	YKT6	Synaptobrevin homolog YKT6 (EC 2.3.1.-)	559292	Saccharomyces cerevisiae	UKP02550	PTHR45806
WSC2_YEAST	P53832;D6W0R1	3.2	WSC2	Cell wall integrity and stress response component 2	559292	Saccharomyces cerevisiae	UKP12941	PTHR15549
SUB1_YEAST	P54000;D6VZL4	17.0	SUB1	RNA polymerase II transcriptional coactivator SUB1	559292	Saccharomyces cerevisiae	UKP01669	PTHR13215
APE2_YEAST	P32454;D6VX41;P36055	5.5	APE2	Aminopeptidase 2, mitochondrial (AP-II) (Aminopeptidase II) (EC 3.4.11.-) (YscII)	559292	Saccharomyces cerevisiae	UKP01592	PTHR11533
HAL4_YEAST	P25333;D6VR17	5.5	SAT4	Serine/threonine-protein kinase HAL4/SAT4 (EC 2.7.11.1) (Halotolerance protein 4)	559292	Saccharomyces cerevisiae	UKP00085	PTHR24343
SEC5_YEAST	P89102;D6VSE6;Q03775;Q04128	6.4	SEC5	Exocyst complex component SEC5	559292	Saccharomyces cerevisiae	UKP01622	PTHR13043
CAB5_YEAST	Q03941;D6VSH9	2.9	CAB5	Dephospho-CoA kinase CAB5 (DPCK) (EC 2.7.1.24) (Dephosphocoenzyme A kinase)	559292	Saccharomyces cerevisiae	UKP04855	PTHR10695
SNT2_YEAST	P53127;D6VU17	7.6	SNT2	E3 ubiquitin-protein ligase SNT2 (EC 2.3.2.27) (Histone E3 ligase SNT2) (RING-type E3 ubiquitin transferase SNT2) (SANT domain-containing protein 2)	559292	Saccharomyces cerevisiae	UKP11067	PTHR47672
YFT2_YEAST	Q06676;D6VSV0	4.6	YFT2	Acyl-coenzyme A diphosphatase YFT2 (EC 3.6.1.-) (FIT family protein YFT2)	559292	Saccharomyces cerevisiae	UKP06435	PTHR23129
THDH_YEAST	P00927;D3DLZ2	4.9	ILV1	Threonine dehydratase, mitochondrial (EC 4.3.1.19) (Threonine deaminase)	559292	Saccharomyces cerevisiae	UKP02538	PTHR48078
SYFA_YEAST	P15625;D6VTK8	3.4	FRS2	Phenylalanine--tRNA ligase alpha subunit (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase alpha subunit) (PheRS)	559292	Saccharomyces cerevisiae	UKP02419	PTHR11538
CCM1_YEAST	P48237;D6VUT1	6.3	CCM1	Mitochondrial group I intron splicing factor CCM1 (COB and COX1 mRNA maturation protein 1) (Required for respiratory growth protein 2)	559292	Saccharomyces cerevisiae	UKP03847	PTHR47934
FRE3_YEAST	Q08905;D6W373	4.9	FRE3	Ferric reductase transmembrane component 3 (EC 1.16.1.9) (Ferric-chelate reductase 3)	559292	Saccharomyces cerevisiae	UKP14010	PTHR32361
GEM1_YEAST	P39722;D6VPG8	9.7	GEM1	Mitochondrial Rho GTPase 1 (EC 3.6.5.-) (GTPase EF-hand protein of mitochondria 1)	559292	Saccharomyces cerevisiae	UKP02086	PTHR24072
COQ9_YEAST	Q05779;D6VYK3	4.0	COQ9	Ubiquinone biosynthesis protein COQ9, mitochondrial	559292	Saccharomyces cerevisiae	UKP00715	PTHR21427
SUV3_YEAST	P32580;D6W3Y4;Q02649	6.3	SUV3	ATP-dependent RNA helicase SUV3, mitochondrial (EC 3.6.4.13)	559292	Saccharomyces cerevisiae	UKP00168	PTHR12131
YIA6_YEAST	P40556;D6VVS4	7.4	YIA6	Mitochondrial nicotinamide adenine dinucleotide transporter 1 (Mitochondrial NAD(+) transporter 1)	559292	Saccharomyces cerevisiae	UKP01052	PTHR45683
ALG9_YEAST	P53868;D6W0X1	5.8	ALG9	Alpha-1,2-mannosyltransferase ALG9 (EC 2.4.1.259) (EC 2.4.1.261) (Asparagine-linked glycosylation protein 9) (Dol-P-Man:Man(6)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase) (Dol-P-Man:Man(8)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase)	559292	Saccharomyces cerevisiae	UKP00487	PTHR22760
NAB3_YEAST	P38996;D6W3H8;Q07034	9.9	NAB3	Nuclear polyadenylated RNA-binding protein 3	559292	Saccharomyces cerevisiae	UKP07772	PTHR13968
ISC1_YEAST	P40015;D3DLR7	5.5	ISC1	Inositol phosphosphingolipids phospholipase C (IPS phospholipase C) (IPS-PLC) (EC 3.1.4.-) (Neutral sphingomyelinase) (N-SMase) (nSMase)	559292	Saccharomyces cerevisiae	UKP06145	PTHR16320
HXT7_YEAST	P39004;D6VSX3	7.8	HXT7	High-affinity hexose transporter HXT7	559292	Saccharomyces cerevisiae	UKP02544	PTHR48022
EBS1_YEAST	Q03466;D6VSI7	3.9	EBS1	Nonsense-mediated mRNA decay factor EBS1 (EST1-like BCY1 suppressor 1)	559292	Saccharomyces cerevisiae	UKP05579	PTHR15696
DUG1_YEAST	P43616;D6VTS7	5.6	DUG1	Cys-Gly metallodipeptidase DUG1 (EC 3.4.13.-) (Deficient in utilization of glutathione protein 1) (GSH degradosomal complex subunit DUG1)	559292	Saccharomyces cerevisiae	UKP08282	PTHR43270
COX15_YEAST	P40086;D3DM48	4.2	COX15	Cytochrome c oxidase assembly protein COX15 (Heme a synthase COX15)	559292	Saccharomyces cerevisiae	UKP03351	PTHR23289
RNA1_YEAST	P11745;D6W061	8.7	RNA1	Ran GTPase-activating protein 1 (Protein involved in RNA production/processing)	559292	Saccharomyces cerevisiae	UKP07953	PTHR24113
MRD1_YEAST	Q06106;D6W4B1	5.6	MRD1	Multiple RNA-binding domain-containing protein 1	559292	Saccharomyces cerevisiae	UKP05225	PTHR48039
DOHH_YEAST	P47120;D6VWP1	2.9	LIA1	Deoxyhypusine hydroxylase (DOHH) (EC 1.14.99.29) (Deoxyhypusine dioxygenase) (Deoxyhypusine monooxygenase) (Ligand of eIF5A protein 1)	559292	Saccharomyces cerevisiae	UKP02388	PTHR12697
COQ2_YEAST	P32378;D6W1L7;Q6B1I3	4.2	COQ2	4-hydroxybenzoate polyprenyltransferase, mitochondrial (4-HB polyprenyltransferase) (EC 2.5.1.39) (4-hydroxybenzoate hexaprenyltransferase) (Para-hydroxybenzoate--polyprenyltransferase) (PHB:PPT) (PHB:polyprenyltransferase)	559292	Saccharomyces cerevisiae	UKP00197	PTHR11048
HNM1_YEAST	P19807;D6VU67	5.6	HNM1	Choline transport protein	559292	Saccharomyces cerevisiae	UKP01949	PTHR45649
IGO1_YEAST	P53897;D6W126	8.2	IGO1	mRNA stability protein IGO1 (Initiation of G zero protein 1)	559292	Saccharomyces cerevisiae	UKP00380	PTHR10358
NOC2_YEAST	P39744;D6W2R2;Q08625	2.6	NOC2	Nucleolar complex protein 2	559292	Saccharomyces cerevisiae	UKP01164	PTHR12687
ACS1_YEAST	Q01574;D6VPG4;Q66RJ0	4.2	ACS1	Acetyl-coenzyme A synthetase 1 (EC 6.2.1.1) (Acetate--CoA ligase 1) (Acyl-activating enzyme 1)	559292	Saccharomyces cerevisiae	UKP01660	PTHR24095
CSH1_YEAST	P38287;D6VQF6	4.2	CSH1	Mannosyl phosphorylinositol ceramide synthase CSH1 (EC 2.4.1.370) (CSG1/SUR1 homolog 1)	559292	Saccharomyces cerevisiae	UKP12121	PTHR32385
TSR3_YEAST	Q12094;D6W272	2.9	TSR3	18S rRNA aminocarboxypropyltransferase (EC 2.5.1.-) (20S rRNA accumulation protein 3) (ScTsr3)	559292	Saccharomyces cerevisiae	UKP00643	PTHR20426
HNT2_YEAST	P49775;D6VST4;Q6TQU2;Q6TQU3	3.2	HNT2	Bis(5'-adenosyl)-triphosphatase (EC 3.6.1.29) (AP3A hydrolase) (AP3Aase) (Diadenosine 5',5'''-P1,P3-triphosphate hydrolase) (Dinucleosidetriphosphatase) (Hit family protein 2)	559292	Saccharomyces cerevisiae	UKP03613	PTHR46243
GOR1_YEAST	P53839;D6W0S0	2.6	GOR1	Glyoxylate reductase 1 (EC 1.1.1.26) (EC 1.1.1.79) (EC 1.1.1.81)	559292	Saccharomyces cerevisiae	UKP02219	PTHR10996
IF2B_YEAST	P09064;D6W3D3;Q6B200	9.8	SUI3	Eukaryotic translation initiation factor 2 subunit beta (eIF-2-beta)	559292	Saccharomyces cerevisiae	UKP00873	PTHR23001
GLN3_YEAST	P18494;D3DLU0	7.1	GLN3	Nitrogen regulatory protein GLN3	559292	Saccharomyces cerevisiae	UKP06163	PTHR10071
PP2C3_YEAST	P34221;D6VPU4;Q92330	0.8	PTC3	Protein phosphatase 2C homolog 3 (PP2C-3) (EC 3.1.3.16)	559292	Saccharomyces cerevisiae	UKP01471	PTHR13832
PKH1_YEAST	Q03407;D6VTB3	6.6	PKH1	Serine/threonine-protein kinase PKH1 (EC 2.7.11.1) (3-phosphoinositide-dependent protein kinase 1)	559292	Saccharomyces cerevisiae	UKP01573	PTHR24356
GCSH_YEAST	P39726;D6VPH2	3.5	GCV3	Glycine cleavage system H protein, mitochondrial (Glycine decarboxylase complex subunit H)	559292	Saccharomyces cerevisiae	UKP02531	PTHR11715
ESF2_YEAST	P53743;D6W1M9	7.9	ESF2	Pre-rRNA-processing protein ESF2 (18S rRNA factor 2)	559292	Saccharomyces cerevisiae	UKP01017	PTHR12311
AVT1_YEAST	P47082;D6VWH5	9.0	AVT1	Vacuolar amino acid transporter 1	559292	Saccharomyces cerevisiae	UKP00501	PTHR22950
SKY1_YEAST	Q03656;D6W041	8.1	SKY1	Serine/threonine-protein kinase SKY1 (SRPK) (EC 2.7.11.1)	559292	Saccharomyces cerevisiae	UKP01618	PTHR47634
RRP36_YEAST	Q12481;D6W2Y5	3.5	RRP36	rRNA biogenesis protein RRP36 (Ribosomal RNA-processing protein 36)	559292	Saccharomyces cerevisiae	UKP01379	PTHR21738
ATP18_YEAST	P81450;D6W0K1	5.8	ATP18	ATP synthase subunit J, mitochondrial (ATPase synthase I subunit)	559292	Saccharomyces cerevisiae	UKP12313	PTHR28060
YHM2_YEAST	Q04013;D6W067	6.3	YHM2	Citrate/oxoglutarate carrier protein (Coc1p) (Mitochondrial DNA replication protein YHM2)	559292	Saccharomyces cerevisiae	UKP12211	PTHR46982
PWP2_YEAST	P25635;D6VR63;P25633;P25636	6.9	PWP2	Periodic tryptophan protein 2 (U three protein 1) (U3 small nucleolar RNA-associated protein 1) (U3 snoRNA-associated protein 1)	559292	Saccharomyces cerevisiae	UKP02584	PTHR19858
SAS10_YEAST	Q12136;D6VRJ7;Q05842	5.1	SAS10	Something about silencing protein 10 (U three protein 3) (U3 small nucleolar RNA-associated protein 3) (U3 snoRNA-associated protein 11)	559292	Saccharomyces cerevisiae	UKP03621	PTHR13237
DBP10_YEAST	Q12389;D6VRW1	4.2	DBP10	ATP-dependent RNA helicase DBP10 (EC 3.6.4.13) (DEAD box protein 10)	559292	Saccharomyces cerevisiae	UKP01534	PTHR47959
SVP26_YEAST	P38869;D3DLC9	6.6	SVP26	Protein SVP26 (Sed5 compartment vesicle protein of 26 kDa)	559292	Saccharomyces cerevisiae	UKP06862	PTHR13144
ADH2_YEAST	P00331;D6W0D0	4.3	ADH2	Alcohol dehydrogenase 2 (EC 1.1.1.1) (Alcohol dehydrogenase II) (YADH-2)	559292	Saccharomyces cerevisiae	UKP11753	PTHR42940
ARB1_YEAST	P40024;D3DLT5	5.3	ARB1	ABC transporter ATP-binding protein ARB1 (EC 3.6.5.-) (ATP-binding cassette protein involved in ribosome biogenesis 1)	559292	Saccharomyces cerevisiae	UKP05351	PTHR19211
KAR_YEAST	Q07551;D6VRM6	5.3	YDL124W	NADPH-dependent alpha-keto amide reductase (AKR-E) (EC 1.2.1.-) (YKAR)	559292	Saccharomyces cerevisiae	UKP08165	PTHR43827
GPI17_YEAST	Q04080;D6VT61	2.5	GPI17	GPI transamidase component GPI17	559292	Saccharomyces cerevisiae	UKP01717	PTHR21072
HFA1_YEAST	P32874;D6W032;O42823	3.1	HFA1	Acetyl-CoA carboxylase, mitochondrial (ACC) (EC 6.4.1.2) [Includes: Biotin carboxylase (EC 6.3.4.14)]	559292	Saccharomyces cerevisiae	UKP01630	PTHR45728
ARGJ_YEAST	Q04728;D6VZN6;Q04682;Q09168	2.6	ARG7	Arginine biosynthesis bifunctional protein ArgJ, mitochondrial (Extracellular mutant protein 40) [Cleaved into: Arginine biosynthesis bifunctional protein ArgJ alpha chain; Arginine biosynthesis bifunctional protein ArgJ beta chain] [Includes: Glutamate N-acetyltransferase (GAT) (EC 2.3.1.35) (Ornithine acetyltransferase) (OATase) (Ornithine transacetylase); Amino-acid acetyltransferase (EC 2.3.1.1) (N-acetylglutamate synthase) (AGS)]	559292	Saccharomyces cerevisiae	UKP00232	PTHR23100
ERP2_YEAST	P39704;D6VPL1	5.3	ERP2	Protein ERP2	559292	Saccharomyces cerevisiae	UKP00700	PTHR22811
ILV5_YEAST	P06168;D6VYZ3	5.5	ILV5	Ketol-acid reductoisomerase, mitochondrial (EC 1.1.1.86) (Acetohydroxy-acid reductoisomerase) (Alpha-keto-beta-hydroxylacyl reductoisomerase) (Isoleucine-plus-valine requiring protein 5)	559292	Saccharomyces cerevisiae	UKP02200	PTHR21371
RRP12_YEAST	Q12754;D6W400;Q7LH12	4.1	RRP12	Ribosomal RNA-processing protein 12	559292	Saccharomyces cerevisiae	UKP00799	PTHR48287
PEX9_YEAST	Q04364;D6VZJ2;Q6B2L0	3.9	PEX9	Peroxisomal targeting signal receptor 9 (PTS1 receptor 9) (PTS1R 9) (Peroxin-9)	559292	Saccharomyces cerevisiae	UKP01104	PTHR10130
PEP12_YEAST	P32854;D6W2A3	9.6	PEP12	Syntaxin PEP12 (Carboxypeptidase Y-deficient protein 12) (Vacuolar protein sorting-associated protein 6) (Vacuolar protein-targeting protein 13)	559292	Saccharomyces cerevisiae	UKP01447	PTHR19957
UFD4_YEAST	P33202;D6VXS6	5.5	UFD4	Ubiquitin fusion degradation protein 4 (UB fusion protein 4) (EC 2.3.2.-) (HECT-type E3 ubiquitin transferase UFD4) (EC 2.3.2.26)	559292	Saccharomyces cerevisiae	UKP01200	PTHR45670
