Pathway_ID,Pathway,Pathway_Hierarchy,Uniprot_IDs,Genes,GO_Annotations,Gene_Count
11,mt-tRNA modifications,Mitochondrial central dogma > mtRNA metabolism > mt-tRNA modifications,"P07884, P15565, P21269, P25374, P32559, P32579, P33893, P36101, P38626, P38756, P38793, P43122, P48567, P53070, P53088, P53167, P53260, P53294, P53720, Q03020, Q03557, Q04311, Q06244, Q08282, Q08686, Q12056, Q12069, Q12093","P07884, TRM1, CCA1, NFS1, MSS1, SUA5, PET112, TCD2, CBR1, TCD1, P38793, QRI7, PUS4, MTO1, P53088, PUS2, GTF1, PUS6, SMM1, ISU1, HER2, Q04311, Q06244, Q08282, TUM1, ISU2, PUS9, SLM3","GO:0001522 (pseudouridine synthesis); GO:0001680 (tRNA 3'-terminal CCA addition); GO:0002098 (tRNA wobble uridine modification); GO:0002939 (tRNA N1-guanine methylation); GO:0002949 (tRNA threonylcarbamoyladenosine modification); GO:0006400 (tRNA modification); GO:0030488 (tRNA methylation); GO:0030956 (glutamyl-tRNA(Gln) amidotransferase complex); GO:0031119 (tRNA pseudouridine synthesis); GO:0031591 (wybutosine biosynthetic process); GO:0061504 (cyclic threonylcarbamoyladenosine biosynthetic process); GO:0070899 (mitochondrial tRNA wobble uridine modification); GO:0140101 (catalytic activity, acting on a tRNA)",28
12,mt-rRNA modifications,Mitochondrial central dogma > mtRNA metabolism > mt-rRNA modifications,"P25270, P26783, P36146, P39990, P53123, Q06244, Q08622, Q12069, Q12339","MRM1, RPS5, P36146, SNU13, MRM2, Q06244, GEP3, PUS9, Q12339",GO:0000154 (rRNA modification); GO:0000452 (snoRNA guided rRNA 2'-O-methylation); GO:0000455 (enzyme-directed rRNA pseudouridine synthesis); GO:0000470 (maturation of LSU-rRNA); GO:0030490 (maturation of SSU-rRNA); GO:0031167 (rRNA methylation),9
13,mt-mRNA modifications,Mitochondrial central dogma > mtRNA metabolism > mt-mRNA modifications,"P32598, P48567, P53167","GLC7, PUS4, PUS2",GO:0005847 (mRNA cleavage and polyadenylation specificity factor complex); GO:1990481 (mRNA pseudouridine synthesis),3
14,mtRNA stability and decay,Mitochondrial central dogma > mtRNA metabolism > mtRNA stability and decay,"P05750, P07252, P07263, P07806, P20081, P25694, P26793, P32580, P36038, P38088, P38230, P39112, P39940, P40825, P46655, P53140, P53852, P54964, Q03153","RPS3, CBP1, HTS1, VAS1, FPR1, CDC48, RAD27, SUV3, CBT1, GRS1, ZTA1, DSS1, RSP5, ALA1, P46655, RMD9, YNL247W, REX2, ATP25",GO:0000175 (3'-5'-RNA exonuclease activity); GO:0000957 (mitochondrial RNA catabolic process); GO:0000958 (mitochondrial mRNA catabolic process); GO:0008409 (5'-3' exonuclease activity); GO:0035925 (mRNA 3'-UTR AU-rich region binding); GO:0043488 (regulation of mRNA stability); GO:0048255 (mRNA stabilization); GO:0070651 (nonfunctional rRNA decay); GO:1990825 (sequence-specific mRNA binding),19
15,Translation,Mitochondrial central dogma > Translation,"O14464, O14467, O75012, P00359, P02381, P02992, P04456, P04803, P05066, P05750, P05756, P07236, P07252, P07253, P07263, P07390, P07806, P07807, P08425, P08468, P0CS90, P10355, P10662, P10663, P10834, P10849, P11325, P12686, P12687, P14063, P14066, P14832, P14905, P15179, P15424, P15992, P16862, P17505, P17558, P19414, P19516, P19955, P19956, P20081, P20084, P21560, P21771, P22136, P22353, P22354, P22438, P23369, P23542, P25038, P25039, P25294, P25345, P25348, P25626, P25642, P26783, P27796, P27929, P28778, P28817, P29547, P30775, P31334, P32048, P32335, P32344, P32387, P32388, P32419, P32493, P32522, P32579, P32611, P32785, P32902, P32904, P33751, P33759, P33893, P34222, P35996, P36056, P36146, P36516, P36517, P36519, P36520, P36521, P36523, P36525, P36526, P36527, P36528, P36531, P36532, P36533, P36534, P38064, P38088, P38120, P38137, P38175, P38300, P38701, P38705, P38714, P38715, P38771, P38783, P38860, P38876, P39103, P39952, P39990, P40033, P40185, P40496, P40513, P40825, P40858, P41805, P42847, P42900, P46655, P46672, P46943, P47015, P47141, P47150, P48525, P48526, P48527, P50273, P50896, P51998, P53140, P53163, P53166, P53212, P53260, P53292, P53297, P53305, P53334, P53724, P53732, P53733, P53736, P53852, P53875, P53881, P53921, P53937, P53944, Q01163, Q01532, Q02204, Q02608, Q02950, Q03151, Q03201, Q03246, Q03430, Q03557, Q03799, Q03976, Q04311, Q04599, Q04748, Q05863, Q06090, Q06630, Q06678, Q06683, Q07807, Q07938, Q08179, Q08818, Q12089, Q12315, Q12322, Q12339, Q12487, Q3E7B2","RTC6, MBF1, MRP10, TDH3, VAR1, TUF1, RPL25, MSW1, P05066, RPS3, RPS13, MST1, CBP1, CBP6, HTS1, PET494, VAS1, DFR1, MSF1, PET111, SSC1, PET122, MRP1, MRP2, PET54, MTF2, NAM2, MRP13, MRP7, MRPL31, P14066, CPR1, CBS2, MSD1, MSS116, HSP26, P16862, MDH1, PET123, ACO1, COX11, YMR31, MRPL44, FPR1, MRPL33, CBP3, MRPS28, AEP2, MRPL8, MRPL20, MSM1, MRPL25, AAT2, IFM1, MEF1, SIS1, SLM5, MRPL32, IMG1, IMG2, RPS5, POT1, NAM9, MRP17, EHD3, CAM1, MRF1, MRPL9, MSK1, MSS51, P32344, MRP20, MRP49, MDH3, AEP1, PET309, SUA5, RML2, FMT1, MRP4, MRPL6, P33751, MRPS5, PET112, PTH2, MRPL38, RSM22, P36146, MRPL3, MRPL4, MRPL7, MRPL10, MRPL11, MRPL15, MRPL24, MRPL27, MRPL28, MRPL17, MRPL36, MRPL37, MRPL39, MRPL40, MRPL16, GRS1, MRPS9, PCS60, MRP21, MBA1, RPS20, DIA4, MSR1, GRE3, RRF1, FYV4, MTG2, PTH1, COX14, OXA1, SNU13, RSM18, MMF1, RSM25, MAM33, ALA1, MRPL49, RPL10, MRPS18, SLS1, P46655, ARC1, GUF1, AIM23, RSM26, RSM7, MSE1, ISM1, MSY1, ATP22, P50896, YML6, RMD9, MNP1, MRH4, YGR021W, GTF1, MRPS35, PBP1, RSM27, SCW4, MRPL50, MRPS12, RSM19, YNR040W, YNL247W, MRPL19, MRPL22, YNL122C, SWS2, P53944, RSM23, LAP3, MRPL13, MRPS16, MRP51, MTG1, RSM10, MRPS17, RSM28, HER2, MRPS8, RSM24, Q04311, MRPL1, SOV1, YLR281C, MRPL51, MHR1, MRPL35, IRC3, Q07807, MEU1, MDM38, MSC6, AEP3, GLE1, YOL114C, Q12339, MRPL23, COA3","GO:0000027 (ribosomal large subunit assembly); GO:0003729 (mRNA binding); GO:0003743 (translation initiation factor activity); GO:0003746 (translation elongation factor activity); GO:0004045 (peptidyl-tRNA hydrolase activity); GO:0005527 (macrolide binding); GO:0005761 (mitochondrial ribosome); GO:0005763 (mitochondrial small ribosomal subunit); GO:0006413 (translational initiation); GO:0006414 (translational elongation); GO:0006415 (translational termination); GO:0006417 (regulation of translation); GO:0006418 (tRNA aminoacylation for protein translation); GO:0006419 (alanyl-tRNA aminoacylation); GO:0006423 (cysteinyl-tRNA aminoacylation); GO:0006431 (methionyl-tRNA aminoacylation); GO:0006432 (phenylalanyl-tRNA aminoacylation); GO:0006438 (valyl-tRNA aminoacylation); GO:0006449 (regulation of translational termination); GO:0006450 (regulation of translational fidelity); GO:0006451 (translational readthrough); GO:0008494 (translation activator activity); GO:0030686 (90S preribosome); GO:0030687 (preribosome, large subunit precursor); GO:0031369 (translation initiation factor binding); GO:0032040 (small-subunit processome); GO:0032543 (mitochondrial translation); GO:0032938 (negative regulation of translation in response to oxidative stress); GO:0042254 (ribosome biogenesis); GO:0045182 (translation regulator activity); GO:0045727 (positive regulation of translation); GO:0070124 (mitochondrial translational initiation); GO:0070125 (mitochondrial translational elongation); GO:0070126 (mitochondrial translational termination); GO:0070130 (negative regulation of mitochondrial translation); GO:0070131 (positive regulation of mitochondrial translation); GO:0070134 (positive regulation of mitochondrial translational initiation); GO:0070145 (mitochondrial asparaginyl-tRNA aminoacylation); GO:0070146 (mitochondrial aspartyl-tRNA aminoacylation); GO:0070150 (mitochondrial glycyl-tRNA aminoacylation); GO:0070158 (mitochondrial seryl-tRNA aminoacylation); GO:0070159 (mitochondrial threonyl-tRNA aminoacylation); GO:0070181 (small ribosomal subunit rRNA binding); GO:0070183 (mitochondrial tryptophanyl-tRNA aminoacylation); GO:0070184 (mitochondrial tyrosyl-tRNA aminoacylation); GO:0070681 (glutaminyl-tRNAGln biosynthesis via transamidation); GO:0071951 (conversion of methionyl-tRNA to N-formyl-methionyl-tRNA); GO:0097177 (mitochondrial ribosome binding); GO:1902775 (mitochondrial large ribosomal subunit assembly); GO:1905082 (regulation of mitochondrial translational elongation); GO:1990145 (maintenance of translational fidelity); GO:1990400 (mitochondrial ribosomal large subunit rRNA binding)",189
16,Mitochondrial ribosome,Mitochondrial central dogma > Translation > Mitochondrial ribosome,"O75012, P02381, P07253, P10662, P10663, P12686, P12687, P14063, P14066, P14905, P15424, P17558, P19516, P19955, P19956, P20081, P20084, P21560, P21771, P22353, P22354, P23369, P25348, P25626, P25642, P27929, P28778, P28817, P31334, P32344, P32387, P32388, P32611, P32902, P32904, P33759, P35996, P36056, P36516, P36517, P36519, P36520, P36521, P36523, P36525, P36526, P36527, P36528, P36531, P36532, P36533, P36534, P38064, P38120, P38175, P38300, P38783, P39952, P40033, P40496, P40513, P40858, P42847, P46943, P47015, P47141, P47150, P51998, P53163, P53166, P53292, P53305, P53724, P53732, P53733, P53736, P53875, P53881, P53921, P53937, Q01163, Q02204, Q02608, Q02950, Q03201, Q03246, Q03430, Q03799, Q03976, Q04599, Q06090, Q06630, Q06678, Q08179, Q12322, Q12487","MRP10, VAR1, CBP6, MRP1, MRP2, MRP13, MRP7, MRPL31, P14066, CBS2, MSS116, PET123, COX11, YMR31, MRPL44, FPR1, MRPL33, CBP3, MRPS28, MRPL8, MRPL20, MRPL25, MRPL32, IMG1, IMG2, NAM9, MRP17, EHD3, MRPL9, P32344, MRP20, MRP49, RML2, MRP4, MRPL6, MRPS5, MRPL38, RSM22, MRPL3, MRPL4, MRPL7, MRPL10, MRPL11, MRPL15, MRPL24, MRPL27, MRPL28, MRPL17, MRPL36, MRPL37, MRPL39, MRPL40, MRPL16, MRPS9, MRP21, MBA1, FYV4, OXA1, RSM18, RSM25, MAM33, MRPL49, MRPS18, GUF1, AIM23, RSM26, RSM7, YML6, MNP1, MRH4, MRPS35, RSM27, MRPL50, MRPS12, RSM19, YNR040W, MRPL19, MRPL22, YNL122C, SWS2, RSM23, MRPL13, MRPS16, MRP51, RSM10, MRPS17, RSM28, MRPS8, RSM24, MRPL1, MRPL51, MHR1, MRPL35, MDM38, YOL114C, MRPL23",GO:0005527 (macrolide binding); GO:0005761 (mitochondrial ribosome); GO:0005762 (mitochondrial large ribosomal subunit); GO:0005763 (mitochondrial small ribosomal subunit); GO:0097177 (mitochondrial ribosome binding); GO:1990400 (mitochondrial ribosomal large subunit rRNA binding),96
17,Mitochondrial ribosome assembly,Mitochondrial central dogma > Translation > Mitochondrial ribosome assembly,"O14464, P04456, P05750, P05756, P26783, P32344, P36056, P36146, P38860, P39990, P40513, P41805, P53166, Q03151, Q04748, Q12339","RTC6, RPL25, RPS3, RPS13, RPS5, P32344, RSM22, P36146, MTG2, SNU13, MAM33, RPL10, MRH4, MTG1, SOV1, Q12339","GO:0000027 (ribosomal large subunit assembly); GO:0030686 (90S preribosome); GO:0030687 (preribosome, large subunit precursor); GO:0030688 (preribosome, small subunit precursor); GO:0032040 (small-subunit processome); GO:0042254 (ribosome biogenesis); GO:0061668 (mitochondrial ribosome assembly); GO:0070181 (small ribosomal subunit rRNA binding); GO:0180026 (mitochondrial small ribosomal subunit assembly); GO:1902775 (mitochondrial large ribosomal subunit assembly)",16
18,Translation factors,Mitochondrial central dogma > Translation > Translation factors,"P00359, P02992, P05066, P07252, P07263, P07390, P07807, P08468, P10355, P10834, P14066, P14832, P14905, P15424, P15992, P16862, P17505, P19414, P21560, P25038, P27796, P30775, P32335, P32419, P32493, P32522, P33751, P38137, P38701, P38715, P46655, P50273, P50896, P53140, P53297, P53334, Q01532, Q04748, Q07807, Q07938, Q08818, Q12315","TDH3, TUF1, P05066, CBP1, HTS1, PET494, DFR1, PET111, PET122, PET54, P14066, CPR1, CBS2, MSS116, HSP26, P16862, MDH1, ACO1, CBP3, IFM1, POT1, MRF1, MSS51, MDH3, AEP1, PET309, P33751, PCS60, RPS20, GRE3, P46655, ATP22, P50896, RMD9, PBP1, SCW4, LAP3, SOV1, Q07807, MEU1, MSC6, GLE1",GO:0003729 (mRNA binding); GO:0003743 (translation initiation factor activity); GO:0003746 (translation elongation factor activity); GO:0008494 (translation activator activity); GO:0031369 (translation initiation factor binding); GO:0045182 (translation regulator activity); GO:0070126 (mitochondrial translational termination),42
19,mt-tRNA synthetases,Mitochondrial central dogma > Translation > mt-tRNA synthetases,"P04803, P07236, P07263, P07806, P08425, P11325, P15179, P22438, P25345, P32048, P33893, P38088, P38705, P40825, P46655, P46672, P48527, P53260, P53852, Q03557","MSW1, MST1, HTS1, VAS1, MSF1, NAM2, MSD1, MSM1, SLM5, MSK1, PET112, GRS1, DIA4, ALA1, P46655, ARC1, MSY1, GTF1, YNL247W, HER2",GO:0006418 (tRNA aminoacylation for protein translation); GO:0006419 (alanyl-tRNA aminoacylation); GO:0006423 (cysteinyl-tRNA aminoacylation); GO:0006427 (histidyl-tRNA aminoacylation); GO:0006429 (leucyl-tRNA aminoacylation); GO:0006431 (methionyl-tRNA aminoacylation); GO:0006432 (phenylalanyl-tRNA aminoacylation); GO:0006438 (valyl-tRNA aminoacylation); GO:0070145 (mitochondrial asparaginyl-tRNA aminoacylation); GO:0070146 (mitochondrial aspartyl-tRNA aminoacylation); GO:0070150 (mitochondrial glycyl-tRNA aminoacylation); GO:0070154 (mitochondrial lysyl-tRNA aminoacylation); GO:0070158 (mitochondrial seryl-tRNA aminoacylation); GO:0070159 (mitochondrial threonyl-tRNA aminoacylation); GO:0070183 (mitochondrial tryptophanyl-tRNA aminoacylation); GO:0070184 (mitochondrial tyrosyl-tRNA aminoacylation); GO:0070681 (glutaminyl-tRNAGln biosynthesis via transamidation),20
20,fMet processing,Mitochondrial central dogma > Translation > fMet processing,P32785,FMT1,GO:0071951 (conversion of methionyl-tRNA to N-formyl-methionyl-tRNA),1
21,"Protein import, sorting and homeostasis","Protein import, sorting and homeostasis","O74700, P07213, P07267, P0CS90, P10507, P11914, P14693, P14832, P15108, P15992, P16474, P17967, P18409, P18496, P19882, P20081, P23644, P25294, P25375, P25573, P25694, P25719, P27882, P28321, P28627, P28737, P31539, P32329, P32453, P32454, P32472, P32795, P32830, P32839, P32897, P32898, P32939, P33416, P33421, P33448, P35180, P35191, P35999, P36016, P36037, P36046, P36078, P36112, P36147, P36163, P36775, P38162, P38295, P38300, P38323, P38325, P38345, P38523, P38821, P38825, P38910, P38958, P38969, P39006, P39515, P39925, P39940, P39952, P39987, P40051, P40202, P40341, P40354, P40548, P40576, P40961, P40990, P41800, P42834, P42844, P42949, P43613, P43616, P46972, P47045, P47154, P49334, P50085, P50087, P50110, P53193, P53220, P53239, P53259, P53266, P53299, P53507, P53736, P53867, P53969, P57744, P80967, P87108, Q01532, Q01852, Q02776, Q02888, Q02889, Q03429, Q04228, Q04311, Q04472, Q04697, Q04935, Q05676, Q05930, Q05931, Q06010, Q06493, Q06524, Q07914, Q08176, Q08179, Q08749, Q10740, Q12328, Q12743, Q3E798, Q3E828, Q99316","TIM9, TOM70, PEP4, SSC1, MAS1, MAS2, SAM35, CPR1, P15108, HSP26, KAR2, PDI1, MDM10, ATP10, HSP60, FPR1, TOM40, SIS1, PRD1, MGR1, CDC48, CPR3, ERV1, YJU3, IMP1, MSP1, HSP104, YPS1, ATP11, APE2, FPR2, YME1, TIM12, BCS1, TIM23, CYM1, YPT7, HSP78, SDH3, P33448, TOM20, MDJ1, OCT1, LHS1, P36037, MIA40, P36078, MIC60, PAM17, OMA1, PIM1, MIX23, EHT1, MBA1, MCX1, OM14, SDH8, MGE1, APE4, TOM71, HSP10, PET100, PNT1, PSD1, TIM17, AFG3, RSP5, OXA1, ECM10, ICP55, CCS1, YTA12, NTA1, SNL1, INA22, PHB1, MSS2, MMM1, MDJ2, ZIM17, PAM16, ERJ5, DUG1, IMP2, TIM54, STE24, TOM22, PHB2, MIC26, SAM37, JAC1, TIM21, COX18, PCP1, SHY1, TIM13, TOM7, YNR040W, P53867, SAM50, TIM8, TOM5, TIM10, LAP3, TIM44, TIM50, INA17, MGR2, MZM1, UBX2, Q04311, MGR3, GSF2, COX20, SOM1, Q05930, SSQ1, STE23, YLH47, Q06524, PAM18, MIM1, MDM38, Q08749, LAP2, TIM22, DFM1, MIM2, Q3E828, MPD2","GO:0001405 (PAM complex, Tim23 associated import motor); GO:0003755 (peptidyl-prolyl cis-trans isomerase activity); GO:0004175 (endopeptidase activity); GO:0004177 (aminopeptidase activity); GO:0004190 (aspartic-type endopeptidase activity); GO:0004222 (metalloendopeptidase activity); GO:0004252 (serine-type endopeptidase activity); GO:0005742 (mitochondrial outer membrane translocase complex); GO:0006457 (protein folding); GO:0006508 (proteolysis); GO:0006626 (protein targeting to mitochondrion); GO:0008234 (cysteine-type peptidase activity); GO:0008242 (omega peptidase activity); GO:0016540 (protein autoprocessing); GO:0017171 (serine hydrolase activity); GO:0030163 (protein catabolic process); GO:0030943 (mitochondrion targeting sequence binding); GO:0031146 (SCF-dependent proteasomal ubiquitin-dependent protein catabolic process); GO:0032460 (negative regulation of protein oligomerization); GO:0032977 (membrane insertase activity); GO:0032979 (protein insertion into mitochondrial inner membrane from matrix); GO:0035694 (mitochondrial protein catabolic process); GO:0042026 (protein refolding); GO:0042720 (mitochondrial inner membrane peptidase complex); GO:0043161 (proteasome-mediated ubiquitin-dependent protein catabolic process); GO:0043162 (ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway); GO:0043171 (peptide catabolic process); GO:0043254 (regulation of protein-containing complex assembly); GO:0044183 (protein folding chaperone); GO:0045039 (protein insertion into mitochondrial inner membrane); GO:0045041 (protein import into mitochondrial intermembrane space); GO:0051082 (unfolded protein binding); GO:0051085 (chaperone cofactor-dependent protein refolding); GO:0051087 (protein-folding chaperone binding); GO:0051131 (chaperone-mediated protein complex assembly); GO:0051603 (proteolysis involved in protein catabolic process); GO:0051787 (misfolded protein binding); GO:0070096 (mitochondrial outer membrane translocase complex assembly); GO:0071586 (CAAX-box protein processing); GO:0072671 (mitochondria-associated ubiquitin-dependent protein catabolic process); GO:0097718 (disordered domain specific binding); GO:0101031 (protein folding chaperone complex); GO:0120174 (stress-induced homeostatically regulated protein degradation pathway); GO:0140595 (MIM complex); GO:1903644 (regulation of chaperone-mediated protein folding); GO:1903955 (positive regulation of protein targeting to mitochondrion); GO:1990524 (INA complex)",130
22,Protein import and sorting,"Protein import, sorting and homeostasis > Protein import and sorting","O74700, P07213, P0CS90, P10507, P11914, P14693, P16474, P18409, P19882, P23644, P25573, P27882, P28627, P28737, P32795, P32830, P32839, P32897, P33421, P33448, P35180, P35999, P36046, P36078, P36112, P36147, P38162, P38300, P38325, P38523, P38825, P38910, P38969, P39006, P39515, P39925, P39952, P39987, P40341, P40576, P40990, P41800, P42834, P42949, P46972, P47045, P49334, P50110, P53220, P53239, P53259, P53299, P53507, P53736, P53969, P57744, P80967, P87108, Q01852, Q02776, Q02888, Q02889, Q04472, Q05676, Q06493, Q07914, Q08176, Q08179, Q08749, Q12328, Q3E798, Q3E828","TIM9, TOM70, SSC1, MAS1, MAS2, SAM35, KAR2, MDM10, HSP60, TOM40, MGR1, ERV1, IMP1, MSP1, YME1, TIM12, BCS1, TIM23, SDH3, P33448, TOM20, OCT1, MIA40, P36078, MIC60, PAM17, MIX23, MBA1, OM14, MGE1, TOM71, HSP10, PNT1, PSD1, TIM17, AFG3, OXA1, ECM10, YTA12, INA22, MSS2, MMM1, MDJ2, PAM16, IMP2, TIM54, TOM22, SAM37, TIM21, COX18, PCP1, TIM13, TOM7, YNR040W, SAM50, TIM8, TOM5, TIM10, TIM44, TIM50, INA17, MGR2, MGR3, SOM1, YLH47, PAM18, MIM1, MDM38, Q08749, TIM22, MIM2, Q3E828","GO:0001405 (PAM complex, Tim23 associated import motor); GO:0005742 (mitochondrial outer membrane translocase complex); GO:0006465 (signal peptide processing); GO:0006626 (protein targeting to mitochondrion); GO:0006627 (protein processing involved in protein targeting to mitochondrion); GO:0015450 (protein-transporting ATPase activity); GO:0016540 (protein autoprocessing); GO:0030943 (mitochondrion targeting sequence binding); GO:0032977 (membrane insertase activity); GO:0032979 (protein insertion into mitochondrial inner membrane from matrix); GO:0045039 (protein insertion into mitochondrial inner membrane); GO:0045041 (protein import into mitochondrial intermembrane space); GO:0070096 (mitochondrial outer membrane translocase complex assembly); GO:0140595 (MIM complex); GO:1903955 (positive regulation of protein targeting to mitochondrion); GO:1990524 (INA complex)",72
23,TOM,"Protein import, sorting and homeostasis > Protein import and sorting > TOM","P07213, P14693, P18409, P23644, P33448, P35180, P41800, P49334, P50110, P53507, P80967, Q08176, Q3E798, Q3E828","TOM70, SAM35, MDM10, TOM40, P33448, TOM20, MMM1, TOM22, SAM37, TOM7, TOM5, MIM1, MIM2, Q3E828",GO:0005742 (mitochondrial outer membrane translocase complex); GO:0070096 (mitochondrial outer membrane translocase complex assembly),14
24,SAM,"Protein import, sorting and homeostasis > Protein import and sorting > SAM","P14693, P18409, P50110, P53969, Q3E828","SAM35, MDM10, SAM37, SAM50, Q3E828",GO:0001401 (SAM complex),5
25,MIA40,"Protein import, sorting and homeostasis > Protein import and sorting > MIA40","P19882, P25573, P27882, P32795, P36046, P36078, P36112, P38910, Q04472","HSP60, MGR1, ERV1, YME1, MIA40, P36078, MIC60, HSP10, MGR3",GO:0045041 (protein import into mitochondrial intermembrane space),9
26,TIM22 carrier pathway,"Protein import, sorting and homeostasis > Protein import and sorting > TIM22 carrier pathway","O74700, P32830, P33421, P47045, P87108, Q08749, Q12328","TIM9, TIM12, SDH3, TIM54, TIM10, Q08749, TIM22",GO:0042721 (TIM22 mitochondrial import inner membrane insertion complex),7
27,TIM23 presequence pathway,"Protein import, sorting and homeostasis > Protein import and sorting > TIM23 presequence pathway","P0CS90, P32897, P36147, P38523, P39515, P42834, P42949, P53220, Q01852, Q02776, Q02889, Q07914","SSC1, TIM23, PAM17, MGE1, TIM17, MDJ2, PAM16, TIM21, TIM44, TIM50, MGR2, PAM18","GO:0001405 (PAM complex, Tim23 associated import motor); GO:0005744 (TIM23 mitochondrial import inner membrane translocase complex)",12
28,Import motor,"Protein import, sorting and homeostasis > Protein import and sorting > TIM23 presequence pathway > Import motor","P0CS90, P36147, P38523, P42834, P42949, Q01852, Q07914","SSC1, PAM17, MGE1, MDJ2, PAM16, TIM44, PAM18","GO:0001405 (PAM complex, Tim23 associated import motor)",7
29,Import motor,"Protein import, sorting and homeostasis > Protein import and sorting > Import motor","P0CS90, P16474","SSC1, KAR2",GO:0008566 (mitochondrial protein-transporting ATPase activity); GO:0015450 (protein-transporting ATPase activity),2
30,OXA,"Protein import, sorting and homeostasis > Protein import and sorting > OXA","P32839, P38300, P38969, P39952, P40990, P53239, P53736, P53969, Q06493, Q08179","BCS1, MBA1, PNT1, OXA1, MSS2, COX18, YNR040W, SAM50, YLH47, MDM38",GO:0032977 (membrane insertase activity); GO:0032979 (protein insertion into mitochondrial inner membrane from matrix),10
31,Preprotein cleavage,"Protein import, sorting and homeostasis > Protein import and sorting > Preprotein cleavage","P10507, P11914, P28627, P35999, P39006, P39925, P40341, P46972, P53259, Q05676","MAS1, MAS2, IMP1, OCT1, PSD1, AFG3, YTA12, IMP2, PCP1, SOM1",GO:0006465 (signal peptide processing); GO:0006627 (protein processing involved in protein targeting to mitochondrion); GO:0016540 (protein autoprocessing),10
32,Protein homeostasis,"Protein import, sorting and homeostasis > Protein homeostasis","O74700, P07267, P0CS90, P10507, P11914, P14832, P15108, P15992, P16474, P17967, P18496, P19882, P20081, P25294, P25375, P25573, P25694, P25719, P28321, P28627, P31539, P32329, P32453, P32454, P32472, P32795, P32839, P32898, P32939, P33416, P35191, P35999, P36016, P36037, P36046, P36163, P36775, P38295, P38323, P38345, P38523, P38821, P38910, P38958, P39925, P39940, P40051, P40202, P40341, P40354, P40548, P40961, P42844, P43613, P43616, P46972, P47154, P50085, P50087, P53193, P53259, P53266, P53867, P87108, Q01532, Q01852, Q03429, Q04228, Q04311, Q04472, Q04697, Q04935, Q05676, Q05930, Q05931, Q06010, Q06524, Q10740, Q12743, Q99316","TIM9, PEP4, SSC1, MAS1, MAS2, CPR1, P15108, HSP26, KAR2, PDI1, ATP10, HSP60, FPR1, SIS1, PRD1, MGR1, CDC48, CPR3, YJU3, IMP1, HSP104, YPS1, ATP11, APE2, FPR2, YME1, BCS1, CYM1, YPT7, HSP78, MDJ1, OCT1, LHS1, P36037, MIA40, OMA1, PIM1, EHT1, MCX1, SDH8, MGE1, APE4, HSP10, PET100, AFG3, RSP5, ICP55, CCS1, YTA12, NTA1, SNL1, PHB1, ZIM17, ERJ5, DUG1, IMP2, STE24, PHB2, MIC26, JAC1, PCP1, SHY1, P53867, TIM10, LAP3, TIM44, MZM1, UBX2, Q04311, MGR3, GSF2, COX20, SOM1, Q05930, SSQ1, STE23, Q06524, LAP2, DFM1, MPD2",GO:0003755 (peptidyl-prolyl cis-trans isomerase activity); GO:0004175 (endopeptidase activity); GO:0004177 (aminopeptidase activity); GO:0004190 (aspartic-type endopeptidase activity); GO:0004222 (metalloendopeptidase activity); GO:0004252 (serine-type endopeptidase activity); GO:0006457 (protein folding); GO:0006508 (proteolysis); GO:0008234 (cysteine-type peptidase activity); GO:0008242 (omega peptidase activity); GO:0017171 (serine hydrolase activity); GO:0030163 (protein catabolic process); GO:0031146 (SCF-dependent proteasomal ubiquitin-dependent protein catabolic process); GO:0032460 (negative regulation of protein oligomerization); GO:0035694 (mitochondrial protein catabolic process); GO:0042026 (protein refolding); GO:0042720 (mitochondrial inner membrane peptidase complex); GO:0043161 (proteasome-mediated ubiquitin-dependent protein catabolic process); GO:0043162 (ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway); GO:0043171 (peptide catabolic process); GO:0043254 (regulation of protein-containing complex assembly); GO:0044183 (protein folding chaperone); GO:0051082 (unfolded protein binding); GO:0051085 (chaperone cofactor-dependent protein refolding); GO:0051087 (protein-folding chaperone binding); GO:0051131 (chaperone-mediated protein complex assembly); GO:0051603 (proteolysis involved in protein catabolic process); GO:0051787 (misfolded protein binding); GO:0071586 (CAAX-box protein processing); GO:0072671 (mitochondria-associated ubiquitin-dependent protein catabolic process); GO:0097718 (disordered domain specific binding); GO:0101031 (protein folding chaperone complex); GO:0120174 (stress-induced homeostatically regulated protein degradation pathway); GO:1903644 (regulation of chaperone-mediated protein folding),80
