Gene,ORF,UniprotID,Protein description,SNson/PELson       (average)         ,SNcarb/PELcarb  (average)          ,Yeast / Mito,Soluble,Peripheral,Integral,Ambiguous,L sol,L per,L int,Outer membrane,Inner membrane,Inter-membrane space,Matrix,,,,max
ARG1,YOL058W,P22768,Arginosuccinate synthetase; catalyzes the formation of L-argininosuccinate from citrulline and L-aspartate in the arginine biosynthesis pathway; potential Cdc28p substrate,1.6,2.96,138.4,,,,X,0,0.08,0.01,,,,,,,,8%
ARG2,YJL071W,P40360,"Acetylglutamate synthase (glutamate N-acetyltransferase); mitochondrial enzyme that catalyzes the first step in the biosynthesis of the arginine precursor ornithine; forms a complex with Arg5,6p",1.84,4.48,0.1,,,,X,0,0.38,0,,,,,,,,38%
"ARG5,6",YER069W,Q01217,"Acetylglutamate kinase and N-acetyl-gamma-glutamyl-phosphate reductase; N-acetyl-L-glutamate kinase (NAGK) catalyzes the 2nd and N-acetyl-gamma-glutamyl-phosphate reductase (NAGSA), the 3rd step in arginine biosynthesis; synthesized as a precursor which is processed in the mitochondrion to yield mature NAGK and NAGSA; enzymes form a metabolon complex with Arg2p; NAGK C-terminal domain stabilizes the enzymes, slows catalysis and is involved in feed-back inhibition by arginine",2.12,16.76,0.62,,X,,,0,0,0,,X,,,,,,0%
ARG7,YMR062C,Q04728,"Mitochondrial ornithine acetyltransferase; catalyzes the fifth step in arginine biosynthesis; also possesses acetylglutamate synthase activity, regenerates acetylglutamate while forming ornithine",23,22.16,0.57,X,,,,0.97,0,0,,,,X,,,,97%
ARG8,YOL140W,P18544,Acetylornithine aminotransferase; catalyzes the fourth step in the biosynthesis of the arginine precursor ornithine,22.4,20.04,0.41,X,,,,0.97,0,0,,,,X,,,,97%
ARH1,YDR376W,P48360,Oxidoreductase of the mitochondrial inner membrane; involved in cytoplasmic and mitochondrial iron homeostasis and required for activity of Fe-S cluster-containing enzymes; one of the few mitochondrial proteins essential for viability,6.27,4.12,0.21,,,,X,0.05,0,0,,,,,,,,5%
ATG32,YIL146C,P40458,"Mitochondrial outer membrane protein required to initiate mitophagy; recruits the autophagy adaptor protein Atg11p and the ubiquitin-like protein Atg8p to the mitochondrial surface to initiate mitophagy, the selective vacuolar degradation of mitochondria in response to starvation; can promote pexophagy when placed ectopically in the peroxisomal membrane; regulates mitophagy and ethanol production during alcoholic fermentation",0.15,0.29,0.59,,,X,,0,0,0.89,X,,,,,,,89%
ATM1,YMR301C,P40416,Mitochondrial inner membrane ATP-binding cassette (ABC) transporter; exports mitochondrially synthesized precursors of iron-sulfur (Fe/S) clusters to the cytosol,0.22,0.18,0.18,,,X,,0,0,0.96,,X,,,,,,96%
ATO2,YNR002C,P32907,"Putative transmembrane protein involved in export of ammonia; ammonia is a starvation signal that promotes cell death in aging colonies; phosphorylated in mitochondria; member of the TC 9.B.33 YaaH family; homolog of Y. lipolytica Gpr1p; ATO2 has a paralog, ADY2, that arose from the whole genome duplication",0.15,1.58,0.52,,,X,,0,0.08,0.5,,X,,,,,,50%
ATO3,YDR384C,Q12359,"Plasma membrane protein, putative ammonium transporter; regulation pattern suggests a possible role in export of ammonia from the cell; phosphorylated in mitochondria; member of the TC 9.B.33 YaaH family of putative transporters",0.14,0.09,0.89,,,X,,0,0,0.83,,X,,,,,,83%
ATP1,YBL099W,P07251,"Alpha subunit of the F1 sector of mitochondrial F1F0 ATP synthase; which is a large, evolutionarily conserved enzyme complex required for ATP synthesis; F1 translationally regulates ATP6 and ATP8 expression to achieve a balanced output of ATP synthase genes encoded in nucleus and mitochondria; phosphorylated; N-terminally propionylated in vivo",1.91,24.27,0.65,,X,,,0.02,0.94,0,,X,,,,,,94%
ATP10,YLR393W,P18496,Assembly factor for the F0 sector of mitochondrial F1F0 ATP synthase; mitochondrial inner membrane protein; interacts genetically with ATP6,1.12,12.07,0.13,,X,,,0,0.97,0,,X,,,,,,97%
ATP11,YNL315C,P32453,Molecular chaperone; required for the assembly of alpha and beta subunits into the F1 sector of mitochondrial F1F0 ATP synthase; N-terminally propionylated in vivo,2.45,16,0.5,,X,,,0.14,0.81,0,,X,,,,,,81%
ATP12,YJL180C,P22135,Assembly factor for the F1 sector of mitochondrial F1F0 ATP synthase; conserved protein; required for the assembly of alpha and beta subunits into the F1 sector of the mitochondrial F1F0 ATP synthase; mutation of human ATP12 reduces active ATP synthase levels and is associated with the disorder ATPAF2 deficiency,1.25,17.46,0.25,,X,,,0,0.97,0,,X,X,,,,,97%
ATP14,YLR295C,Q12349,"Subunit h of the F0 sector of mitochondrial F1F0 ATP synthase; F1F0 ATP synthase is a large, evolutionarily conserved enzyme complex required for ATP synthesis; protein abundance increases in response to DNA replication stress",1.51,35.59,0,,X,,,0,0.91,0,,X,,,,,,91%
ATP15,YPL271W,P21306,"Epsilon subunit of the F1 sector of mitochondrial F1F0 ATP synthase; which is a large, evolutionarily conserved enzyme complex required for ATP synthesis; F1 translationally regulates ATP6 and ATP8 expression to achieve a balanced output of ATP synthase genes encoded in nucleus and mitochondria; phosphorylated",2.93,21.08,0.08,X,,,,0.24,0.72,0,,,,X,,,,72%
ATP17,YDR377W,Q06405,"Subunit f of the F0 sector of mitochondrial F1F0 ATP synthase; F1F0 ATP synthase is a large, evolutionarily conserved enzyme complex required for ATP synthesis",0.29,0.08,1.15,,,X,,0,0,0.96,,X,,,,,,96%
ATP18,YML081C-A,P81450,"Subunit of the mitochondrial F1F0 ATP synthase; F1F0 ATP synthase is a large, evolutionarily conserved enzyme complex required for ATP synthesis; termed subunit I or subunit j; does not correspond to known ATP synthase subunits in other organisms",0.23,0.06,1.52,,,X,,0,0,0.93,,X,,,,,,93%
ATP19,YOL077W-A,P81451,"Subunit k of the mitochondrial F1F0 ATP synthase; F1F0 ATP synthase is a large, evolutionarily conserved enzyme complex required for ATP synthesis; associated only with the dimeric form of ATP synthase",0.41,18.89,0,,X,,,0,0.89,0,,X,,,,,,89%
ATP2,YJR121W,P00830,"Beta subunit of the F1 sector of mitochondrial F1F0 ATP synthase; which is a large, evolutionarily conserved enzyme complex required for ATP synthesis; F1 translationally regulates ATP6 and ATP8 expression to achieve a balanced output of ATP synthase genes encoded in nucleus and mitochondria; phosphorylated",1.99,21.74,0.66,,X,,,0.03,0.93,0,,X,,,,,,93%
ATP20,YPR020W,Q12233,"Subunit g of the mitochondrial F1F0 ATP synthase; reversibly phosphorylated on two residues; unphosphorylated form is required for dimerization of the ATP synthase complex, which in turn determines oligomerization of the complex and the shape of inner membrane cristae",0.3,0.8,0.12,,,X,,0,0,0.95,,X,,,,,,95%
ATP22,YDR350C,P50273,Specific translational activator for the mitochondrial ATP6 mRNA; Atp6p encodes a subunit of F1F0 ATP synthase; localized to the mitochondrial inner membrane,0.37,2.5,0.38,,,X,,0,0.2,0.64,,X,,,,,,64%
ATP23,YNR020C,P53722,"Putative metalloprotease of the mitochondrial inner membrane; required for processing of Atp6p; has an additional role in assembly of the F0 sector of the F1F0 ATP synthase complex; substrate of the Mia40p-Erv1p disulfide relay system, and folding is assisted by Mia40p",0.5,6.27,0.21,,X,,,0,0.93,0.02,,X,,,,,,93%
ATP25,YMR098C,Q03153,Mitochondrial protein required for the stability of Oli1p (Atp9p) mRNA; also required for the Oli1p ring formation; YMR098C is not an essential gene,0.8,5.28,0.15,,X,,,0,0.89,0.02,,X,,,,,,89%
ATP3,YBR039W,P38077,"Gamma subunit of the F1 sector of mitochondrial F1F0 ATP synthase; F1F0 ATP synthase is a large, evolutionarily conserved enzyme complex required for ATP synthesis",1.51,26.58,0.58,,X,,,0,0.95,0,,X,,,,,,95%
ATP4,YPL078C,P05626,"Subunit b of the stator stalk of mitochondrial F1F0 ATP synthase; ATP synthase is a large, evolutionarily conserved enzyme complex required for ATP synthesis; contributes to the oligomerization of the complex, which in turn determines the shape of inner membrane cristae; phosphorylated",0.27,0.12,0.43,,,X,,0,0,0.97,,X,,,,,,97%
ATP5,YDR298C,P09457,"Subunit 5 of the stator stalk of mitochondrial F1F0 ATP synthase; F1F0 ATP synthase is a large, evolutionarily conserved enzyme complex required for ATP synthesis; homologous to bovine subunit OSCP (oligomycin sensitivity-conferring protein); phosphorylated",1.41,22.9,0.32,,X,,,0,0.96,0,,X,,,,,,96%
ATP6,Q0085,P00854,Subunit a of the F0 sector of mitochondrial F1F0 ATP synthase; mitochondrially encoded; translation is specifically activated by Atp22p; ATP6 and ATP8 mRNAs are not translated in the absence of the F1 sector of ATPase,--,0.06,0,,,X,,0,0,0,,X,,,,,,0%
ATP7,YKL016C,P30902,"Subunit d of the stator stalk of mitochondrial F1F0 ATP synthase; F1F0 ATP synthase is a large, evolutionarily conserved enzyme complex required for ATP synthesis",0.67,0.09,0.47,,,X,,0,0,0.79,,X,,,,,,79%
ATP8,Q0080,P00856,Subunit 8 of the F0 sector of mitochondrial F1F0 ATP synthase; encoded on the mitochondrial genome; ATP8 and ATP6 mRNAs are not translated in the absence of the F1 sector of ATPase,--,0.01,##,,,X,,0,0,0,,X,,,,,,0%
AYR1,YIL124W,P40471,"Bifunctional triacylglycerol lipase and 1-acyl DHAP reductase; NADPH-dependent 1-acyl dihydroxyacetone phosphate reductase involved in phosphatidic acid biosynthesis; lipid droplet triacylglycerol lipase involved in the mobilization of non-polar lipids; found in lipid particles, the endoplasmic reticulum and the mitochondrial outer membrane; required for spore germination; role in cell wall biosynthesis; capable of metabolizing steroid hormones; oleic acid inducible",0.41,4.26,0.86,,X,,,0,0.79,0.12,X,,,,,,,79%
BAT1,YHR208W,P38891,"Mitochondrial branched-chain amino acid (BCAA) aminotransferase; preferentially involved in BCAA biosynthesis; homolog of murine ECA39; highly expressed during logarithmic phase and repressed during stationary phase; BAT1 has a paralog, BAT2, that arose from the whole genome duplication",4.64,25.71,0.26,X,,,,0.67,0.28,0,,,,X,,,,67%
BBC1,YJL020C,P47068,Protein possibly involved in assembly of actin patches; interacts with an actin assembly factor Las17p and with the SH3 domains of Type I myosins Myo3p and Myo5p; localized predominantly to cortical actin patches,1.74,2.41,6.29,,,,X,0,0.01,0.01,,,,,,,,1%
BCS1,YDR375C,P32839,"Protein translocase and chaperone required for Complex III assembly; member of the AAA ATPase family; forms a homo-oligomeric complex in the mitochondrial inner membrane that translocates the C-terminal domain of Rip1p from the matrix across the inner membrane, and then delivers it to an assembly intermediate of respiratory Complex III in an ATP-dependent reaction; also required for assembly of the Qcr10p subunit; mutations in human homolog BCS1L linked to neonatal diseases",0.28,2.33,0.14,,,X,,0,0.19,0.64,,X,,,,,,64%
BGL2,YGR282C,P15703,"Endo-beta-1,3-glucanase; major protein of the cell wall, involved in cell wall maintenance; involved in incorporation of newly synthesized mannoprotein molecules into the cell wall",1.05,1.82,1.97,,,,X,0,0.01,0.26,,,,,,,,26%
BI2,Q0110,P03873,Mitochondrial mRNA maturase with a role in splicing; encoded by both exon and intron sequences of partially processed COB mRNA,0.28,16.35,0,,X,,,0,0.81,0,,X,,,,,,81%
BI4,Q0120,P03879,Mitochondrial mRNA maturase; forms a complex with Nam2p to mediate splicing of the bI4 intron of the COB gene; encoded by both exon and intron sequences of partially processed COB mRNA,0.21,10.76,0,,X,,,0,0.82,0.01,,X,,,,,,82%
BIO2,YGR286C,P32451,"Biotin synthase; catalyzes the conversion of dethiobiotin to biotin, which is the last step of the biotin biosynthesis pathway; complements E. coli bioB mutant",3.49,9.46,0.4,X,,,,0.6,0.26,0,,,,X,,,,60%
BMH1,YER177W,P29311,"14-3-3 protein, major isoform; controls proteome at post-transcriptional level, binds proteins and DNA, involved in regulation of exocytosis, vesicle transport, Ras/MAPK and rapamycin-sensitive signaling, aggresome formation, spindle position checkpoint; protein increases in abundance and relative distribution to the nucleus increases upon DNA replication stress; antiapoptotic gene similar to human 14-3-3; BMH1 has a paralog, BMH2, that arose from whole genome duplication",0.96,3.38,42.18,,,,X,0,0.46,0.11,,,,,,,,46%
